"","Intensity P010693","Intensity P010694","Intensity P010695","Intensity P010738","Intensity P010739","Intensity P010740","Intensity P013127","Intensity P018020","Intensity P018021"
"ENSP00000054666.6",2.47423031277052,-0.168718452931952,1.19975153243159,NA,1.03639596376007,2.11438484227094,-1.04679421147894,1.66916460491166,3.54696566118112
"ENSP00000054950.3;ENSP00000436422.1;ENSP00000436482.1",2.63390171226957,2.5317971680873,5.0303451022931,5.72767613078461,4.1581453613985,4.06055915586118,4.75439003336288,4.40702373506824,3.95426595981517
"ENSP00000055077.3;ENSP00000275627.3;ENSP00000479768.1;ENSP00000420404.1;ENSP00000420392.2;ENSP00000420513.1;ENSP00000418899.1;ENSP00000419341.1;ENSP00000419827.1;ENSP00000420731.1;ENSP00000419320.1",-1.06712811222521,0.261242744471339,-1.76448550721245,-3.29921387958066,NA,-1.25183269966971,NA,0.200505393080199,-1.80129496104753
"ENSP00000055163.7;ENSP00000344546.4;ENSP00000412835.2;ENSP00000313006.6;ENSP00000383596.3;ENSP00000488727.1",-2.44072733277506,0.58256381919195,-1.01963146449019,NA,NA,-1.85856487756859,NA,-0.419696511856291,1.12232603428934
"ENSP00000056217.5;ENSP00000418745.1;ENSP00000418227.1;ENSP00000417979.1",-3.58072898508421,NA,-1.61701804211262,-3.83237874063737,NA,-2.55479074024274,-3.12371818812948,-2.58138008958464,-0.33296857748784
"ENSP00000060969.5;ENSP00000358541.5",NA,-1.94610721495259,NA,-1.62394441888072,NA,-3.32656450500808,NA,NA,-0.326636494096871
"ENSP00000066544.3;ENSP00000434614.1",NA,-0.711976240606131,-1.14898823570812,NA,NA,-2.09118366796503,NA,NA,-3.72430610280945
"ENSP00000386704.3;ENSP00000386777.3;ENSP00000427722.1;ENSP00000074304.5;ENSP00000387294.3;ENSP00000386329.1",1.73691401664008,0.664785581520611,-3.34589286742063,NA,-0.556388174691147,-0.604990003365579,NA,0.318512963727009,-2.59545461186432
"ENSP00000075120.7;ENSP00000443903.1;ENSP00000440492.1;ENSP00000407287.2;ENSP00000340450.5;ENSP00000482927.1;ENSP00000440480.1;ENSP00000379834.2;ENSP00000445929.1;ENSP00000438484.1;ENSP00000440750.1",-3.94811774176753,0.718056072760891,2.34131514926313,NA,NA,-2.57291589947797,NA,-1.52887897495549,-2.9805550274184
"ENSP00000075322.6;ENSP00000259486.6;ENSP00000429476.1;ENSP00000428304.1;ENSP00000429447.1",NA,-1.15036906882126,-2.41809323474346,NA,NA,-1.04469117538839,NA,3.21182887600771,4.03655399013134
"ENSP00000078429.3;ENSP00000465935.1;ENSP00000479797.1",2.89344646134879,-0.466960038636039,2.75795972466077,-0.465967424391035,3.01393754455042,3.08246216019197,1.74046257387997,1.46798570394519,-2.20258061424374
"ENSP00000404394.2;ENSP00000351326.3;ENSP00000448532.1;ENSP00000080059.7;ENSP00000369984.4;ENSP00000446538.1;ENSP00000482003.1;ENSP00000412155.1;ENSP00000389501.2;ENSP00000388561.1;ENSP00000449171.1;ENSP00000448305.1;ENSP00000397236.1;ENSP00000400811.1;ENSP00000410068.1;ENSP00000411058.1;ENSP00000396159.1",-1.17856438274601,-0.0381646150264103,-1.83527533719211,-2.92732487161401,NA,-1.04747373895822,NA,-0.661811184791816,-2.12243936585049
"ENSP00000081029.3;ENSP00000442137.1;ENSP00000445390.1",-0.396287957365008,0.163221016140632,-3.59469600843503,1.26297967500929,-0.560613581217456,-1.97813267708973,0.514323749201676,0.837891941980519,0.374020179149777
"ENSP00000447001.1;ENSP00000084795.5;ENSP00000449204.1;ENSP00000449610.1;ENSP00000446634.1;ENSP00000448899.1;ENSP00000470988.1;ENSP00000449067.1",3.68639386307533,4.1889676352515,4.37926882895687,2.51941125634827,2.40811168854763,2.78784065230654,4.04915338639139,5.61472463391668,2.85560890690096
"ENSP00000155674.5;ENSP00000337358.4;ENSP00000382745.3",1.79484593235487,1.05913445255774,-1.50760548803958,2.78667251296685,1.70246400356525,0.456707776792559,3.21421576477816,0.353681919289482,NA
"ENSP00000156109.5",-3.91810072390575,0.947448972268287,-0.847546862112985,1.17346525998982,-1.6046973806132,-0.513427407265745,-0.919487477001063,1.04094131057465,1.74947941745667
"ENSP00000156471.5;ENSP00000445700.2;ENSP00000453278.1",-1.7587287415671,1.83512948694199,0.754341282666932,NA,-2.91458881565002,-0.345914141216543,-2.49265068394978,0.282571447916894,NA
"ENSP00000156626.6;ENSP00000466436.1;ENSP00000351991.4;ENSP00000466230.1",0.769452404459845,0.480018180269401,NA,NA,1.09431015758442,0.702108346399868,NA,-3.67822487343347,NA
"ENSP00000156825.2;ENSP00000412302.2;ENSP00000464718.1;ENSP00000466670.2;ENSP00000477547.1;ENSP00000484202.1",-3.96547054949205,-1.59793771057463,-3.22831555200845,-0.950293081199359,-2.55378579770144,-1.77529054772242,0.297004045461968,-0.65997260177468,-1.10321611852383
"ENSP00000157600.3;ENSP00000396515.1;ENSP00000380542.3;ENSP00000400555.1;ENSP00000411222.2;ENSP00000405049.1",-2.63946582997414,1.50269212843864,3.98524025045823,1.28096867274316,2.75584192840654,5.99132681197359,-1.68077565331855,NA,-1.24794888053074
"ENSP00000487367.1;ENSP00000157812.1;ENSP00000485851.1;ENSP00000413869.1",3.89191852589517,4.43682638944902,5.31741018097369,6.118087598627,3.97348970918831,4.11998045843077,4.06184512327364,4.33368973863531,2.80655786005664
"ENSP00000158771.4;ENSP00000459072.1;ENSP00000459083.1;ENSP00000458296.1;ENSP00000460671.1;ENSP00000459154.1;ENSP00000458448.1;ENSP00000461603.1;ENSP00000467794.1;ENSP00000485763.1;ENSP00000419399.1;ENSP00000483693.2;ENSP00000384744.3",NA,-0.354405864823836,1.30957481038435,NA,-3.22919566543681,-2.15696059684679,-1.21200299557951,-1.49090531416211,NA
"ENSP00000160298.3;ENSP00000416797.1",NA,-2.5034844331376,-1.81025836495387,0.990822672426408,NA,-2.85001036903218,-0.213737324947939,-0.224763175146297,0.687342293601652
"ENSP00000384709.3;ENSP00000161559.6;ENSP00000384083.1;ENSP00000471918.1;ENSP00000244291.6;ENSP00000351165.2;ENSP00000472633.1;ENSP00000471566.1",-3.76443001797305,-2.65946480188513,-2.22681627031188,-2.06525670661129,NA,NA,-2.57530657526657,NA,NA
"ENSP00000161863.4;ENSP00000423101.1;ENSP00000426644.1;ENSP00000422916.1",NA,-0.774958526207747,0.520217651824606,NA,NA,NA,-3.392801919679,-2.18667688960347,-1.25443772655162
"ENSP00000467649.1;ENSP00000476205.1;ENSP00000404208.2;ENSP00000467300.2;ENSP00000162044.7;ENSP00000467793.1",-2.10490241049147,NA,NA,NA,NA,NA,-1.01285333169454,NA,NA
"ENSP00000162330.5;ENSP00000377072.6;ENSP00000440415.2;ENSP00000443841.2;ENSP00000392708.3;ENSP00000377074.2;ENSP00000391669.3;ENSP00000440370.2;ENSP00000454702.1;ENSP00000458088.1;ENSP00000456929.1;ENSP00000455810.1;ENSP00000456625.1",-1.12298703485113,-2.04711176325332,-1.75830256598499,-2.44711782254561,-3.08236313318604,-0.62763384069595,NA,NA,-3.80965989240704
"ENSP00000163416.2;ENSP00000452601.1",-3.13579007921015,-0.0236865071409973,2.06873925769469,0.735294496320005,-0.0247892531467038,-0.15091769452328,0.183841236077143,2.69189864716843,4.47847630170728
"ENSP00000164133.2;ENSP00000437088.1;ENSP00000436136.1",-1.58671722604196,-3.33680267093552,NA,NA,-3.79879070107188,-1.81951852129274,-2.22058379177545,-1.99762448962123,NA
"ENSP00000164139.3",2.70293843820196,2.11246427854369,-2.13976751335299,-1.05239513655739,2.70536213290676,-1.22874636468313,-2.89053273895941,NA,NA
"ENSP00000362466.1;ENSP00000168148.3",-2.83758481598888,NA,3.22379142196098,-1.60715366150746,NA,-2.28426085834615,-0.567893501433858,NA,NA
"ENSP00000168216.6;ENSP00000364453.5;ENSP00000364447.4",4.73084059041748,4.89744016696673,4.30681303342422,8.03105316270834,5.6708725800436,4.3956200454516,7.68629562669224,6.19831530002241,5.92197077909034
"ENSP00000389337.1;ENSP00000169298.3;ENSP00000412221.2;ENSP00000390793.1;ENSP00000407631.1;ENSP00000411518.1;ENSP00000415886.1;ENSP00000414504.1;ENSP00000388789.1;ENSP00000416163.1;ENSP00000399525.1;ENSP00000388928.1;ENSP00000412821.1;ENSP00000403063.1",NA,-1.10803466445098,NA,1.8300691373643,NA,NA,1.89597805606232,-1.31286032075764,-3.01781485240975
"ENSP00000169551.6;ENSP00000464228.1;ENSP00000462028.1",0.100742101514999,-2.26811987920891,-3.15649397657607,NA,NA,NA,-1.57871223062786,NA,NA
"ENSP00000397983.1;ENSP00000170447.7;ENSP00000396340.1",3.57683614324469,-0.0900804964654718,NA,-1.11580564877473,-0.863224569258158,0.967280414022465,-1.68102170005589,-1.58196794075517,NA
"ENSP00000170564.1;ENSP00000467632.1",NA,-3.21128234787385,-3.79839988095239,-2.17669174736914,NA,NA,NA,-2.76011504050365,-2.02069597646928
"ENSP00000171887.4",8.94920150148562,2.61480538999695,5.00836080943237,4.83000316297121,8.01707599635752,6.90834712782803,3.90413815398307,2.87208738285342,3.08252213628963
"ENSP00000421731.1;ENSP00000172229.3",0.172884848309089,-2.01852838372575,NA,-2.48239000439328,0.245380542021216,NA,-2.79150930525008,-2.78241474382443,-3.00822832101728
"ENSP00000173527.5;ENSP00000421273.1",2.37451340473125,2.89485710649618,2.37646929048288,6.84602844305446,4.28407930439426,3.05239853479656,4.47947929499893,3.50783214763944,3.00966141574195
"ENSP00000430616.1;ENSP00000428787.1;ENSP00000380132.3;ENSP00000174653.3;ENSP00000428279.1;ENSP00000429435.1;ENSP00000431918.1;ENSP00000429037.1;ENSP00000429804.1",-3.28831545897983,-3.09310048650811,NA,NA,NA,-1.9412421003993,NA,2.15887999605875,1.28670267956963
"ENSP00000414901.1;ENSP00000406994.1;ENSP00000377846.3;ENSP00000377845.3;ENSP00000175506.4;ENSP00000414379.1;ENSP00000408472.1;ENSP00000401651.1;ENSP00000400422.1;ENSP00000394242.1;ENSP00000402350.1;ENSP00000408797.1",NA,-0.912104442678036,NA,NA,-0.336430318645832,-3.51702935027656,NA,0.941782368985887,NA
"ENSP00000387031.2;ENSP00000310092.5;ENSP00000175756.5",NA,-1.29693874132728,NA,NA,-2.02356863592604,NA,NA,NA,-1.9469710444136
"ENSP00000463637.1;ENSP00000378942.2;ENSP00000176643.6;ENSP00000461916.1;ENSP00000345774.4;ENSP00000486085.1;ENSP00000464153.1;ENSP00000458942.1;ENSP00000464453.1;ENSP00000463128.1;ENSP00000462964.1;ENSP00000395845.2;ENSP00000486283.1;ENSP00000458397.1;ENSP00000462933.1;ENSP00000466814.1;ENSP00000433718.1",3.09057339720538,2.36264903789368,-1.12211321550891,4.5639967825077,3.10406396282574,3.6369889991446,6.88010452509505,1.89641258045121,-1.74985818168861
"ENSP00000176763.5;ENSP00000428806.1",-1.80947117977997,4.36611952021366,1.9203568598457,0.142646344394766,0.283643447132299,1.97703335069291,0.476560941169797,-0.56753451930858,0.387906636329518
"ENSP00000179259.4;ENSP00000488928.1",-1.09355762999881,-0.339201553502615,-0.758548719073115,-0.649841305285786,-1.34713438079573,-0.601692556147064,-2.08608698994231,-1.24006398563802,-0.122263094234306
"ENSP00000181383.4;ENSP00000400714.3",-3.09821734507311,NA,5.08286764830554,0.202906096535621,0.794375387432996,0.750174647743307,-1.49113983887229,-3.3554170924703,NA
"ENSP00000181839.4",NA,-0.557879339161758,-2.93676071930173,NA,NA,NA,NA,-2.22361609472778,0.248552405152772
"ENSP00000184266.2;ENSP00000419128.1;ENSP00000419578.1;ENSP00000417755.1;ENSP00000417714.1",3.71691774329698,2.36524761122419,1.62994442435639,1.40229116096162,2.42284593358075,1.3880544394361,3.54516987759269,3.72383657707041,3.28215980137356
"ENSP00000481413.1;ENSP00000464927.1;ENSP00000184956.5;ENSP00000466192.1;ENSP00000465429.1",NA,NA,NA,NA,NA,NA,NA,-3.05585185149623,NA
"ENSP00000185150.4;ENSP00000385629.3;ENSP00000367485.5",-0.646096207079069,0.0841936107641104,3.21001956836606,0.71748742108289,0.231233926463553,1.01101592615926,0.0824888054660278,2.84849358069105,1.06766206664489
"ENSP00000344165.6;ENSP00000185206.6;ENSP00000439195.1",-2.27387551920216,NA,3.35264123011738,NA,NA,2.84656750483206,NA,NA,NA
"ENSP00000186436.5;ENSP00000391566.2",NA,NA,-2.98671314516065,NA,NA,NA,NA,NA,-1.60634313396772
"ENSP00000188312.2;ENSP00000447237.1;ENSP00000450330.1;ENSP00000448447.1;ENSP00000447641.1;ENSP00000447565.1;ENSP00000448669.1;ENSP00000448508.1;ENSP00000448356.1",NA,-3.53032893884966,-3.91570147204915,NA,NA,NA,NA,NA,NA
"ENSP00000448708.1;ENSP00000447740.1;ENSP00000383898.3;ENSP00000188376.5;ENSP00000447310.1;ENSP00000228318.3;ENSP00000449166.1;ENSP00000449793.1;ENSP00000447339.1;ENSP00000449479.1",6.5036353754145,6.06139967377414,5.65585448607985,2.91711279586741,5.12266185261351,5.02055465073621,5.12766510766197,5.4712864665129,3.74810078840276
"ENSP00000410256.1;ENSP00000189444.6;ENSP00000358983.3;ENSP00000480211.1;ENSP00000471586.1",0.227034357355897,2.72405365347362,-0.289625186748445,-0.924454899993428,-0.79105984574894,0.550505647429773,NA,-3.37367592961095,NA
"ENSP00000387248.3;ENSP00000190611.4;ENSP00000376293.2;ENSP00000318723.2;ENSP00000386885.1;ENSP00000352713.3;ENSP00000349591.4",NA,NA,NA,-3.50271928544078,NA,NA,NA,0.0685817554509036,-2.01734129421056
"ENSP00000361959.2;ENSP00000190983.4;ENSP00000361956.4",NA,NA,NA,NA,-3.32854505764925,-1.29985308390764,-3.84584981031806,NA,NA
"ENSP00000361537.2;ENSP00000191018.5;ENSP00000346952.4;ENSP00000361562.3;ENSP00000408533.2;ENSP00000475524.1;ENSP00000476235.1;ENSP00000475827.1",0.270813175387211,0.163706237942801,2.39709520441217,4.35173671527778,1.02701639026888,2.32011651713762,2.33259367735769,-1.08955105263659,-3.48108620559721
"ENSP00000192788.5;ENSP00000400628.2",1.42218912165687,4.91264786636,6.60302572131638,4.71048752161163,-3.26505295099477,6.05177842086443,5.60222502815219,NA,5.06467589770194
"ENSP00000193403.6",NA,-3.81177605532666,-1.94398370370287,-2.55717729586704,-3.46666781464704,-1.84871303131823,NA,NA,NA
"ENSP00000194214.5",NA,-1.96568174103965,-3.09842744255397,0.741649371998378,-0.651871769196799,-2.51649952123064,0.101478422047961,NA,NA
"ENSP00000196061.4;ENSP00000405372.1;ENSP00000414443.1",0.104552953995881,-0.613139178884204,2.81999352029612,-0.703515850118649,-0.287692616434395,1.1657471720759,2.70160509132222,2.7958427675282,-1.21802668517384
