Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
01075_A03_P010693_S00_N17_R1	P010693	17	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8435	50626	0	62995	38257	0	24738	16340	14951	0	1389	25.94	39.08	NaN	5.61	5985	909263	36007	3.96	6932	19.25	87229	23598	22824	27.05	31.48	8474	35.91	+	0.71992	1.0155	0.49087	0.71479	
01075_H02_P010693_S00_N16_R1	P010693	16	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9576	45601	0	58460	32742	0	25718	13331	12050	0	1281	22.8	36.8	NaN	4.98	4816	1000582	31750	3.17	6300	19.84	84820	19993	19310	23.57	29.27	7369	36.86	+	0.6842	0.96538	0.46128	0.67031	
01075_G02_P010693_S00_N15_R1	P010693	15	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9692	44870	0	57757	31983	0	25774	13015	11849	0	1166	22.53	37.05	NaN	4.52	5210	964003	31624	3.28	5920	18.72	83888	20246	19518	24.13	30.32	7070	34.92	+	0.71327	1.0027	0.46458	0.6726	
01075_F02_P010693_S00_N14_R1	P010693	14	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10308	42215	0	53568	30862	0	22706	11284	10429	0	855	21.06	33.79	NaN	3.77	4740	1088690	30055	2.76	5875	19.55	89047	19830	18980	22.27	28.45	6922	34.91	+	0.65929	0.93652	0.41852	0.61084	
01075_E02_P010693_S00_N13_R1	P010693	13	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9189	46971	0	59089	34853	0	24236	12270	11484	0	786	20.77	32.95	NaN	3.24	5466	953888	34014	3.57	6356	18.69	84452	22507	21636	26.65	32.95	7697	34.2	+	0.70031	1.0118	0.46346	0.6935	
01075_D02_P010693_S00_N12_R1	P010693	12	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8345	50739	0	62506	38972	0	23534	14291	13622	0	669	22.86	34.95	NaN	2.84	6778	878858	37510	4.27	6681	17.81	89379	25917	25030	29	34.84	8453	32.62	+	0.71468	1.0044	0.46933	0.68069	
01075_C02_P010693_S00_N11_R1	P010693	11	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9299	46606	0	58352	34860	0	23492	11731	10911	0	820	20.1	31.3	NaN	3.49	5547	919018	33972	3.7	6195	18.24	83488	22998	22220	27.55	34.51	7795	33.89	+	0.71228	1.0151	0.4553	0.6608	
01075_B02_P010693_S00_N10_R1	P010693	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9620	44816	0	56161	33471	0	22690	9257	8711	0	546	16.48	26.03	NaN	2.41	4250	985988	32893	3.34	6076	18.47	86696	22193	21165	25.6	33.05	7592	34.21	+	0.66253	0.95105	0.42689	0.62951	
01075_A02_P010693_S00_N09_R1	P010693	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11000	39309	0	49686	28932	0	20754	8072	7633	0	439	16.25	26.38	NaN	2.12	3963	1045304	28402	2.72	5567	19.6	78970	19344	18551	24.5	31.9	6652	34.39	+	0.65618	0.92214	0.38895	0.55267	
01075_H01_P010693_S00_N08_R1	P010693	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11129	38400	0	50287	26513	0	23774	7407	6806	0	601	14.73	25.67	NaN	2.53	2983	1037435	27276	2.63	4942	18.12	69537	17394	16810	25.01	31.78	5799	33.34	+	0.63439	0.90847	0.38686	0.55805	
01075_G01_P010693_S00_N07_R1	P010693	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13419	27835	0	38622	17048	0	21574	3053	2846	0	207	7.9	16.69	NaN	0.96	1413	1175152	19787	1.68	3268	16.52	63313	11435	10891	18.06	24.71	3763	32.91	+	0.52228	0.74347	0.29137	0.41908	
01075_F01_P010693_S00_N06_R1	P010693	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14066	24928	0	34475	15381	0	19094	3148	3045	0	103	9.13	19.8	NaN	0.54	1410	1216983	17552	1.44	3097	17.64	62537	10249	9612	16.39	23.32	3418	33.35	+	0.56613	0.79012	0.31317	0.44825	
01075_E01_P010693_S00_N05_R1	P010693	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		13974	25264	0	34924	15604	0	19320	3317	3229	0	88	9.5	20.69	NaN	0.46	1568	1178493	17856	1.52	3196	17.9	61030	10411	9764	17.06	24.41	3480	33.43	+	0.58396	0.80242	0.32002	0.4477	
01075_D01_P010693_S00_N04_R1	P010693	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		12343	32902	0	43726	22078	0	21648	6106	5694	0	412	13.96	25.79	NaN	1.9	2753	1048310	23232	2.22	4225	18.19	66873	14673	14053	21.94	29.32	4897	33.37	+	0.59754	0.8449	0.33844	0.48748	
01075_C01_P010693_S00_N03_R1	P010693	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10814	39827	0	51530	28124	0	23406	7934	7479	0	455	15.4	26.59	NaN	1.94	3601	937162	28555	3.05	5371	18.81	68868	18669	17762	27.11	33.36	6409	34.33	+	0.62084	0.88579	0.37139	0.54135	
01075_B01_P010693_S00_N02_R1	P010693	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14809	22083	0	33758	10408	0	23350	1661	1565	0	96	4.92	15.04	NaN	0.41	702	1232034	15560	1.26	1976	12.7	49624	7026	6197	14.16	22.64	2392	34.04	+	0.44176	0.68513	0.33717	0.52823	
01075_A01_P010693_S00_N01_R1	P010693	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14281	23878	0	34201	13555	0	20646	1590	1520	0	70	4.65	11.21	NaN	0.34	878	1190535	17870	1.5	2282	12.77	57396	9832	8832	17.13	24.95	2647	26.92	+	0.63631	0.9137	0.36323	0.52255	
P010693																																	46827																		
P010694																																	83642																		
P010695																																	65999																		
P010738																																	61933																		
P010739																																	49290																		
P010740																																	66049																		
P013127																																	55985																		
P018020																																	94417																		
P018021																																	59310																		
Total																		3532206	14673135	0	19522559	9823583	0	9698976	2730167	2550668	0	179499	13.98	25.96	NaN	1.85	203776	360498507					29037011	7230271	6972438	24.9	29.99	1751158	24.22		0.70416	0.98988	0.48985	0.72008	
